,Item,Current_ price,Previous_price,Image_name
0,"LG Cordless Rechargeable Vacuum CordZero A906SM Stick Charge Plus, Matte Silver",$329.99,,
1,BATTLE STYLES BOOSTER BOX 36 PACKS | Factory Sealed Pokemon Presale 03/19/2021,$125.44,,
2,Dyson Ball Multi Floor Origin Upright Vacuum | Fuchsia | New,$235.99,,
3,Microsoft Surface Pro 7 12.3 Intel Core i5 8GB RAM 128GB SSD Platinum Bundle,,,
4,PUMA Men's BMW M Motorsport R-Cat Motorsport Shoes,$34.99,,
5,Apple iPhone 8 Plus 64GB Factory Unlocked Smartphone,$249.99,,
6,PUMA Men's Essentials Logo Tee,$9.99,,
7,MTG Time Spiral Remastered Booster Box - Brand New! Our Preorders Ship Fast!,$183.33,,
8,"ONN 100003561 8"" Tablet Pro, 32GB Storage, 2GB RAM, Android 10, 2.0 GHz",$49.00,,
9,Apple iPhone XS 256GB Unlocked Smartphone,$359.95,,
10,Apple iPhone X 256GB Unlocked Smartphone,$317.95,,
11,Club de Nuit by Armaf 3.6 oz EDP Perfume for Women New in Box,$24.02,,
12,6 Piece 1800 Count Bed Sheet Set Extra Deep Pocket Sheets - 36 Colors Available!,$25.99,,
13,FULL DATES Roll Of 20 $10 Face Value 90% Silver 1964 Kennedy Half Dollars,$236.21,,
14,Lenovo IdeaPad Gaming 3 15.6 120Hz Ryzen 7-4800H 8GB RAM 512GB SSD GTX 1650 Ti,$729.99,,
15,FULL DATES Roll Of 40 $10 Face Value 90% Silver Washington Quarters,$230.45,,
16,Club de Nuit Intense by Armaf cologne for men EDT 3.6 oz New in Box,$26.84,,
17,Egyptian Comfort 1800 Count 4 Piece Bed Sheet Set Deep Pocket Bed Sheets,$9.99,,
18,adidas Originals Swift Run X Shoes Women's,$39.99,,
19,"Type-C Female to USB-A Male Converter Adapter For iPhone 12 Pro Max,iPad,Samsung",$4.99,,
20,"Dickies Men's 42283 13"" Flat Front Loose Fit Multi Pocket Uniform Work Shorts",$26.49,,
21,DEWALT DCCS620B 20V MAX Cordless Li-Ion 12 in. Compact Chainsaw (Tool Only) New,,,
22,adidas Essentials 3-Stripes Shorts Men's,$14.99,,
23,"TEA CHUPA PANZA Jengibre, Pina, Linaza Te Ginger, Cinnamon Pineapple 30 Day",$11.99,,
24,adidas Terrex Eastrail Hiking Shoes Men's,$39.99,,
25,Polo Style Cotton Baseball Cap Ball Dad Hat Adjustable Plain Solid Washed Men,$7.95,,
26,Apple iPhone X 64GB Factory Unlocked Smartphone,$299.99,,
27,"Lot 5 20 50 100 Collectibles Funko Pop Protector Case for 4"" inch Vinyl Figures",$5.49,,
28,Samsung G955 Galaxy S8+ Plus 64GB Factory Unlocked Smartphone,$187.95,,
29,For iPhone 5 SE 6 6S 8 7 Plus Phone Case Hybrid Shockproof Armor Hard Cover,$4.98,,
30,Apple iPhone 8 256GB Unlocked Smartphone,$204.95,,
31,PUMA Men's Rebound LayUp Sneakers,$32.99,,
32,adidas Fleece Hoodie Men's,$23.99,,
33,PUMA Men's Turino SL Sneakers,$24.99,,
34,Levis Mens 501 Original Shrink to Fit Denim Button Fly Classic Rise Jeans,$46.88,,
35,OSITO Foot Massager Legs Blood Circulation Tens EMS Pulse Pain Relief Machine,$89.99,,
36,Bluedio Hi Wireless Bluetooth Earphone stereo Sport Earbuds headset In Ear,$9.99,,
37,iRobot Roomba E6 Vacuum Cleaning Robot  E6198 Manufacturer Certified Refurbished,$239.99,,
38,ECOVACS DEEBOT 500 Smart Robot Vacuum with Max Power Suction & 110 Min. Run Time,$109.99,,
39,iRobot Braava 380t Advanced Robot Mop - Wet Mopping and Dry Sweeping cleaning,$199.99,,
40,Makita 3/4 in. Variable-Speed Hammer Drill w/ Case HP2050R Certified Refurbished,$64.99,,
41,Makita 18V LXT Li-Ion 1/2 in. Drill Driver Kit XFD01RW Certified Refurbished,$111.99,,
